city,electoral_district,candidate,candidate_party,ticket,ticket_percentage,elected
臺北市,第08選區,彭子軒,無黨籍及未經政黨推薦,1324,0.69,False
臺北市,第08選區,柯士翎,綠黨,2024,1.05,False
臺北市,第08選區,阮昭雄,民主進步黨,67470,34.99,False
臺北市,第08選區,賴士葆,中國國民黨,96377,49.98,True
臺北市,第08選區,顏銘緯,台灣基進,4330,2.25,False
臺北市,第08選區,李文,無黨籍及未經政黨推薦,1064,0.55,False
臺北市,第08選區,張幸松,台灣民眾黨,12111,6.28,False
新北市,第01選區,歐崇敬,無黨籍及未經政黨推薦,892,0.35,False
新北市,第01選區,陳昭宏,無黨籍及未經政黨推薦,2579,1.0,False
新北市,第01選區,張衞航,時代力量,19641,7.63,False
新北市,第01選區,張立蔭,無黨籍及未經政黨推薦,604,0.23,False
新北市,第01選區,余長欣,綠黨,3663,1.42,False
新北市,第01選區,呂孫綾,民主進步黨,110162,42.81,False
新北市,第01選區,洪孟楷,中國國民黨,119401,46.4,True
新北市,第01選區,陳榮太,台灣整復師聯盟工黨,366,0.14,False
新北市,第02選區,林淑芬,民主進步黨,132591,62.37,True
